Country,Frequency
newark liberty international airport,1
lester holt,1
japan,4
internal revenue service,1
lester b. pearson,1
john f. kennedy international airport,1
neil cavuto,1
russia,8
north korea,5
brooklyn,1
les brown (bandleader),2
chicago,9
africa,1
north carolina,1
federal reserve system,5
iran,8
ronald reagan,2
iraq,4
fraternal order of police,1
bernie sanders,2
pennsylvania,1
los angeles international airport,1
bill clinton,16
middle east,6
internet access,3
national rifle association,1
saudi arabia,3
pennsylvania avenue,2
united states,12
wolf blitzer,1
kenya,1
jon lester,1
isis (bluewater comics),2
philadelphia,1
hispanic,1
the wall street journal,1
detroit,1
donald trump,2
nato,10
fox news channel,1
europe,1
janet yellen,1
john kerry,1
cnn,2
michigan,2
patti solis doyle,2
benjamin netanyahu,1
dubai,1
libya,1
mexico,5
new york city,2
lester frank ward,1
madison avenue,1
marshall-newman amendment,1
north american free trade agreement,6
debbie wasserman schultz,1
lester young,1
dallas,1
shooting of michael brown,1
florida,1
lester maddox,1
les paul,1
barack obama,12
lester r. brown,1
trans-pacific partnership,1
south korea,1
ohio,3
douglas macarthur,1
yemen,1
the new york times,2
democratic party (united states),2
michael bloomberg,1
rudy giuliani,1
isis (band),2
democratic national committee,3
gerald ford,1
the secrets of isis,2
howard stern,1
germany,1
the mcclatchy company,2
sean hannity,8
hillary clinton,14
laguardia airport,1
islam,1
new england,1
sidney blumenthal,3
african americans,1
palm beach, florida,1
rosie o'donnell,1
petroleum ether,1
isis,8
afl–cio,1
qatar,1
china,9
white house,1
Total,253
queens,1
republican party (united states),1
