Country,Frequency
newark liberty international airport,1
georgia (country),1
lester holt,2
little haiti,1
japan,11
baltimore,1
persian people,1
muammar gaddafi,3
lester b. pearson,1
john f. kennedy international airport,1
osama bin laden,6
texas,1
citizens united v. fec,3
world war ii,2
united states house of representatives,6
brooklyn,1
les brown (bandleader),2
tulsa, oklahoma,1
new york (state),1
cat stevens,1
chicago,15
fallujah,1
new hampshire,1
islamophobia,1
ronald reagan,8
fraternal order of police,2
hong kong,1
vietnam,1
jonathan gruber (economist),1
bernie sanders,13
los angeles international airport,1
anderson cooper,1
minnesota,1
middle east,18
turkey,1
ukraine,6
bashar al-assad,14
internet access,3
iowa,1
korean peninsula,1
errol flynn,1
pennsylvania avenue,3
united states,234
miss universe,2
wolf blitzer,1
kenya,1
jon lester,1
isis (bluewater comics),3
alicia machado,2
tim kaine,17
john b. anderson,1
philadelphia,1
hispanic,3
united states department of defense,1
detroit,1
donald trump,142
fox news channel,1
janet yellen,1
john kerry,3
university of nevada, las vegas,1
michigan,2
patti solis doyle,2
syria,47
emmy award,1
gillian anderson,2
benjamin netanyahu,2
libya,5
dubai,1
asian americans,1
2015 san bernardino attack,2
new york city,7
roe v. wade,13
madison avenue,1
afghanistan,1
united states senate,7
paula jones,1
marshall-newman amendment,1
debbie wasserman schultz,1
shooting of michael brown,1
florida,3
les paul,2
arkansas,2
trans-pacific partnership,3
moscow,1
south korea,6
ohio,5
douglas macarthur,3
hoosier,1
chris christie,11
kia stevens,2
democratic party (united states),8
aids,1
rudy giuliani,1
isis gee,1
john podesta,2
mother teresa,1
elaine pagels,1
elaine may,1
isis (band),4
united states armed forces,1
united states department of justice,5
democratic national committee,4
united states border patrol,1
korea,1
canada,1
chris grayling,1
isis king,5
vladimir putin,29
the secrets of isis,6
germany,5
orlando, florida,2
crimea,5
warren buffett,5
the mcclatchy company,2
beijing,1
india,1
kurds,4
john mccain,1
hillary clinton,108
iraq war,3
laguardia airport,1
united states congress,10
isis (journal),4
new england,1
sidney blumenthal,5
sunni islam in lebanon,2
united states senate committee on foreign relations,1
african americans,11
palm beach, florida,1
wisconsin,1
rosie o'donnell,1
haiti,8
iraqi army,1
medicare (united states),5
asia,2
marvel comics,3
antonin scalia,3
washington, d.c.,9
george soros,4
district of columbia v. heller,1
afl–cio,1
china,27
newcastle upon tyne,1
associated press,1
republican party (united states),20
west palm beach, florida,1
indiana,12
russians,24
constitutional amendment,1
jimmy carter,1
fort wayne, indiana,1
internal revenue service,2
united nations,1
christianity,3
poland,1
islamism,1
neil cavuto,1
clinton foundation,12
united states department of state,2
twitter,1
russia,67
north korea,7
latin america,4
tehran,1
latin,4
isis pogson,1
abraham lincoln,6
islam in the united states,4
africa,1
north carolina,6
chris dodd,1
keith olbermann,1
federal reserve system,5
iran,57
iraq,43
steven spielberg,1
george washington,1
las vegas,2
pennsylvania,3
bill clinton,25
aleppo,12
ethiopia,2
farmville, virginia,1
george s. patton,2
old post office pavilion,2
national rifle association,3
lgbt,1
saudi arabia,9
supreme court of the united states,18
ruth bader ginsburg,1
world wide web,1
moscow kremlin,1
kim jong-un,1
phoenix, arizona,1
west virginia,1
trump university,2
new jersey,1
michelle obama,4
the wall street journal,1
abd al-latif al-baghdadi (medieval writer),1
mosul,33
nato,18
europe,5
cnn,2
george w. bush,7
jews,1
facebook,1
kremlin,1
russian language,1
democratic national convention,1
mexico,17
wikileaks,6
lester frank ward,1
indian national congress,1
north american free trade agreement,12
gulf war,1
lester young,5
hilary duff,3
dallas,1
lester maddox,2
barack obama,64
lester r. brown,1
muhammad ali,1
yemen,1
goldman sachs,1
the new york times,5
elaine chao,4
united states senate committee on armed services,1
dean heller,1
southern indiana,1
upstate new york,1
hofstra university,1
michael bloomberg,1
al-raqqah,7
oval office,1
federal bureau of investigation,10
electronic dance music,1
east asia,1
dominican republic–central america free trade agreement,1
donald rumsfeld,4
united states army,1
gerald ford,1
united states bill of rights,1
virginia,3
benghazi,1
canadians,1
french language,1
howard stern,1
arizona,2
social security administration,6
romania,1
sean hannity,8
marian wright edelman,1
liberty university,1
trojan war,1
islam,20
paris,3
chris brown,2
al-qaeda,3
czech republic,1
united states environmental protection agency,3
tim mcgraw,1
elaine paige,5
south china sea,1
lance armstrong,1
scranton, pennsylvania,1
petroleum ether,2
isis,48
baghdadi jews,3
german language,1
trump hotel las vegas,1
scott brown,1
qatar,2
steel pulse,1
white house,5
Total,1770
earth,2
syrians,4
queens,2
commission on presidential debates,1
